level1_row_index,hierarchy_path,date,url,substation,error
2,TS Zone Hisar > TS Faridabad > TS Faridabad,2025-05-13,https://docs.google.com/spreadsheets/d/1gt3Q2SJtOSAptb0seBqjU_qaeUIxxK0mBZMjdm3f00U/edit?usp=sharing,,HTTP 401 for https://docs.google.com/spreadsheets/d/1gt3Q2SJtOSAptb0seBqjU_qaeUIxxK0mBZMjdm3f00U/export?format=xlsx (not retryable)
3,TS Zone Hisar > TS Faridabad > TS Palwal,2025-05-23,https://docs.google.com/spreadsheets/d/1kTUMSGXo7YkDXu9mpN_j6cDZjRSQv9xLgbjV-9LrVkE/edit?usp=sharing,,HTTP 401 for https://docs.google.com/spreadsheets/d/1kTUMSGXo7YkDXu9mpN_j6cDZjRSQv9xLgbjV-9LrVkE/export?format=xlsx (not retryable)
3,TS Zone Hisar > TS Faridabad > TS Palwal,2025-04-26,https://docs.google.com/spreadsheets/d/1um9-bxBFjj7iNjOEyUBuloZwP9KwrIXlTIEkIhl3pDw/edit?usp=sharing,,HTTP 401 for https://docs.google.com/spreadsheets/d/1um9-bxBFjj7iNjOEyUBuloZwP9KwrIXlTIEkIhl3pDw/export?format=xlsx (not retryable)
3,TS Zone Hisar > TS Faridabad > TS Palwal,2024-11-12,https://docs.google.com/spreadsheets/d/1JwFwbJ0N5xZQb9FZpnsCvOAocvj17xrFBd2hWFEnXzg/edit?usp=sharing,,HTTP 401 for https://docs.google.com/spreadsheets/d/1JwFwbJ0N5xZQb9FZpnsCvOAocvj17xrFBd2hWFEnXzg/export?format=xlsx (not retryable)
